Device Name;Address;Accuracy;Battery Level;Major;Minor;Rssi;TxPower;Firmware Version;Beacon Unique ID;Proximity UUID;Proximity;Beacon Timestamp Discovered; System timestamp;Distance of measurement
Kontakt;D6:40:86:6D:BD:DF;3.11;100;17170;34142;-90.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:56:373;0.00
Kontakt;D6:40:86:6D:BD:DF;3.11;100;17170;34142;-90.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:56:536;0.00
Kontakt;D6:40:86:6D:BD:DF;3.11;100;17170;34142;-90.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:57:345;0.00
Kontakt;D6:40:86:6D:BD:DF;3.11;100;17170;34142;-90.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:57:413;0.00
Kontakt;D6:40:86:6D:BD:DF;3.11;100;17170;34142;-90.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:57:606;0.00
Kontakt;D6:40:86:6D:BD:DF;3.11;100;17170;34142;-90.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:58:675;0.00
Kontakt;D6:40:86:6D:BD:DF;3.11;100;17170;34142;-90.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:59:143;0.00
Kontakt;D6:40:86:6D:BD:DF;2.86;100;17170;34142;-89.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:09:59:217;0.00
Kontakt;D6:40:86:6D:BD:DF;2.86;100;17170;34142;-89.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:09:59:244;0.00
Kontakt;D6:40:86:6D:BD:DF;2.86;100;17170;34142;-89.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:09:59:401;0.00
Kontakt;D6:40:86:6D:BD:DF;5.04;100;17170;34142;-96.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:59:486;0.00
Kontakt;D6:40:86:6D:BD:DF;5.04;100;17170;34142;-96.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:09:59:564;0.00
Kontakt;D6:40:86:6D:BD:DF;5.04;100;17170;34142;-96.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:00:193;0.00
Kontakt;D6:40:86:6D:BD:DF;2.42;100;17170;34142;-87.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:00:270;0.00
Kontakt;D6:40:86:6D:BD:DF;2.42;100;17170;34142;-87.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:00:296;0.00
Kontakt;D6:40:86:6D:BD:DF;2.42;100;17170;34142;-87.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:00:452;0.00
Kontakt;D6:40:86:6D:BD:DF;2.63;100;17170;34142;-88.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:01:256;0.00
Kontakt;D6:40:86:6D:BD:DF;2.63;100;17170;34142;-88.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:01:524;0.00
Kontakt;D6:40:86:6D:BD:DF;2.63;100;17170;34142;-88.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:01:610;0.00
Kontakt;D6:40:86:6D:BD:DF;2.63;100;17170;34142;-88.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:01:725;0.00
Kontakt;D6:40:86:6D:BD:DF;2.63;100;17170;34142;-88.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:02:315;0.00
Kontakt;D6:40:86:6D:BD:DF;2.42;100;17170;34142;-87.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:02:370;0.00
Kontakt;D6:40:86:6D:BD:DF;5.89;100;17170;34142;-98.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:02:673;0.00
Kontakt;D6:40:86:6D:BD:DF;5.89;100;17170;34142;-98.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:02:754;0.00
Kontakt;D6:40:86:6D:BD:DF;5.89;100;17170;34142;-98.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:03:452;0.00
Kontakt;D6:40:86:6D:BD:DF;5.89;100;17170;34142;-98.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:03:642;0.00
Kontakt;D6:40:86:6D:BD:DF;5.89;100;17170;34142;-98.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:04:135;0.00
Kontakt;D6:40:86:6D:BD:DF;5.89;100;17170;34142;-98.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:04:198;0.00
Kontakt;D6:40:86:6D:BD:DF;5.89;100;17170;34142;-98.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:04:498;0.00
Kontakt;D6:40:86:6D:BD:DF;2.63;100;17170;34142;-88.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:05:226;0.00
Kontakt;D6:40:86:6D:BD:DF;2.63;100;17170;34142;-88.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;NEAR;13/05/2015 21:09:56:286;13/05/2015 21:10:05:293;0.00
Kontakt;D6:40:86:6D:BD:DF;5.45;100;17170;34142;-97.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:05:527;0.00
Kontakt;D6:40:86:6D:BD:DF;5.45;100;17170;34142;-97.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:05:639;0.00
Kontakt;D6:40:86:6D:BD:DF;5.45;100;17170;34142;-97.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:06:150;0.00
Kontakt;D6:40:86:6D:BD:DF;3.37;100;17170;34142;-91.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:06:283;0.00
Kontakt;D6:40:86:6D:BD:DF;3.37;100;17170;34142;-91.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:06:309;0.00
Kontakt;D6:40:86:6D:BD:DF;3.37;100;17170;34142;-91.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:06:394;0.00
Kontakt;D6:40:86:6D:BD:DF;3.37;100;17170;34142;-91.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:06:556;0.00
Kontakt;D6:40:86:6D:BD:DF;3.37;100;17170;34142;-91.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:06:648;0.00
Kontakt;D6:40:86:6D:BD:DF;3.37;100;17170;34142;-91.00;-77.00;12854;uCuI;f7826da6-4fa2-4e98-8024-bc5b71e0893e;FAR;13/05/2015 21:09:56:286;13/05/2015 21:10:07:274;0.00
